uuid,name,price_to_book,peg,pe,country,sector,ebitda_margin,gross_margin,operating_margin,year_pct_change,net_debt,revenue,ebitda,growth_level,growth_trend,ebitda_level,ebitda_trend,capex,total_asset
06e3dc19-b941-41a6-9fb6-a456c8fed84a,Alibaba Group Holding Ltd,1.98108,0.45,20.564814,Hong Kong,Consumer Cyclical,0.09946,0.39811,-0.00348,0.07831812,-32712982528.0,1023670026240.0,101811003392.0,0.05862821515393635,-0.08621510329319351,0.06979255775904158,1.8614892996892591,,1853372750000.0
6dec18df-b47d-4ee2-a9b6-07e1c38fa110,Vodafone Group plc,6.0142713,0.59,,United Kingdom,Communication Services,0.28934,0.3147,0.079730004,0.52282155,36884000768.0,40461000704.0,11706999808.0,,,,,,99234750000.0
dc0caae9-fb83-463c-9bbd-8705a9688057,JPMorgan Chase & Company,2.3425171,1.58,14.402779,United States,Financial Services,0.0,0.0,0.43741,0.12432039,-261141037056.0,173559005184.0,,0.09349346894522181,-0.533610209642195,0.07858760459636982,-1.8691338281844343,,4609515500000.0
16c73542-2f79-409d-bbdf-22d74db22515,Procter & Gamble Company,6.1691437,3.97,20.817251,United States,Consumer Defensive,0.28878,0.50984,0.23047,-0.14080232,24720001024.0,86716997632.0,25041999872.0,0.024790868960807844,2.252281323222519,0.01342783444470208,-0.8542202455703327,4382000000.0,127123500000.0
9baebf47-ac2e-4ae5-bc46-96b0be4beae5,Taiwan Semiconductor Manufacturing,87.62954,1.26,33.987125,Taiwan,Technology,0.69593,0.61873,0.58105,1.089664,-2289226350592.0,4103904165888.0,2856031092736.0,0.32746577683701494,-8.004061013784558,0.29346842447489485,-96.25808021750632,983034594000.0,7356646636250.0
cda47f1b-66f7-4520-9d5a-60e4cbe4ff43,Chunghwa Telecom,10.76818,1.69,27.377357,Taiwan,Communication Services,0.35406,0.36668998,0.21841998,-0.011869431,-25929105408.0,240294428672.0,85078319104.0,0.027019577819096474,0.007322176249474553,0.026634845418372133,0.14298179731799948,27842000000.0,532622498000.0
eb32f3a3-39a4-4608-b3fe-9956b380849b,Roche Holding AG,7.6738157,1.45,20.22417,Switzerland,Healthcare,0.37951002,0.7449,0.2999,0.3206272,17711000576.0,63355998208.0,24043999232.0,0.02386546165646175,-1.1886579212988493,0.01959249488407444,-1.1733233219308892,,74317250000.0
eab701e7-febc-47a0-b357-2f6bb74d62f8,AT&T Inc,1.5554565,1.68,8.036184,United States,Communication Services,0.35101002,0.59414,0.22723,-0.1423983,147786995712.0,126527995904.0,44411998208.0,0.027072979335600378,0.9376518067336945,0.019276970569455987,0.8847185149596718,20842000000.0,411592250000.0
56afd1fd-c67d-4137-8e0f-2f796d669e83,Novartis AG,6.1695967,2.59,21.398851,Switzerland,Healthcare,0.40514,0.75554,0.30479,0.3375485,40105999360.0,56577998848.0,22922000384.0,0.09574262402845979,-1.0957589995772354,0.05390882136209185,-0.39054489982493307,3213000000.0,110291250000.0
874d4263-a08d-4047-a089-6307f91bd08a,Toyota Motor Corporation,15.979021,1.56,10.014431,Japan,Consumer Cyclical,0.12162,0.14926,0.04566,0.028922915,29337927548928.0,50684951003136.0,6164406861824.0,,,,,4607839000000.0,96747242500000.0
